,Symbol,Company Name,Security Name,Cleaned Name
420,BRPAR,Big Rock Partners Acquisition Corp. ,Big Rock Partners Acquisition Corp. - Right,Big Rock Partners Acquisition Corp. 
421,BRPAU,Big Rock Partners Acquisition Corp. ,Big Rock Partners Acquisition Corp. - Unit,Big Rock Partners Acquisition Corp. 
422,BRPAW,Big Rock Partners Acquisition Corp. ,Big Rock Partners Acquisition Corp. - Warrant,Big Rock Partners Acquisition Corp. 
423,BRQS,"Borqs Technologies, Inc.  ","Borqs Technologies, Inc.  - Ordinary Shares",Borqs Technologies
424,BRY,Berry Petroleum Corporation ,Berry Petroleum Corporation - Common Stock,Berry
425,BSET,"Bassett Furniture Industries, Incorporated ","Bassett Furniture Industries, Incorporated - Common Stock",Bassett Furniture Industries
426,BSPM,"Biostar Pharmaceuticals, Inc. ","Biostar Pharmaceuticals, Inc. - Common Stock",star
427,BSQR,BSQUARE Corporation ,BSQUARE Corporation - Common Stock,BSQUARE
428,BSRR,Sierra Bancorp ,Sierra Bancorp - Common Stock,Sierra Bancorp
429,BSTC,BioSpecifics Technologies Corp ,BioSpecifics Technologies Corp - Common Stock,Specifics
430,BTAI,"BioXcel Therapeutics, Inc. ","BioXcel Therapeutics, Inc. - Common Stock",BioXcel Therapeutics
431,BTEC,Principal Healthcare Innovators Index ETF,Principal Healthcare Innovators Index ETF,nnovators
432,BURG,"Chanticleer Holdings, Inc. ","Chanticleer Holdings, Inc. - Common Stock",Chanticleer
433,BUSE,First Busey Corporation ,First Busey Corporation - Common Stock,First Busey
434,BVNSC,Brandes Investment Trust ,Brandes Investment Trust - Brandes Value NextShares,Bres
435,BVSN,"BroadVision, Inc. ","BroadVision, Inc. - Common Stock",BroadVision
436,BVXV,BiondVax Pharmaceuticals Ltd. ,BiondVax Pharmaceuticals Ltd. - American Depositary Shares,BiondVax Pharmaceuticals
437,BVXVW,BiondVax Pharmaceuticals Ltd. ,BiondVax Pharmaceuticals Ltd. - Warrants,ndVax
438,BWB,"Bridgewater Bancshares, Inc. ","Bridgewater Bancshares, Inc. - Common Stock",Bridgewater Bancshares
439,BWEN,"Broadwind Energy, Inc. ","Broadwind Energy, Inc. - Common Stock",Broadwind Energy
440,BWFG,"Bankwell Financial Group, Inc. ","Bankwell Financial Group, Inc. - Common Stock",Bankwell Financial Group
441,BYFC,Broadway Financial Corporation ,Broadway Financial Corporation - Common Stock,Broadway
442,BYSI,"BeyondSpring, Inc. ","BeyondSpring, Inc. - Ordinary Shares",BeyondSpring
443,BZUN,Baozun Inc. ,Baozun Inc. - American Depositary Shares,Baozun
444,CA,CA Inc. ,CA Inc. - Common Stock,CA Inc. 
